rsp,mtd,word,res
12,Опрос в гугл-форме,obmanuli_na,к
12,Опрос в гугл-форме,plaksa_dl,к
12,Опрос в гугл-форме,plaksa_vaksa,в
12,Опрос в гугл-форме,ryova,оо
12,Опрос в гугл-форме,ryova_dl,к
12,Опрос в гугл-форме,zhad_bar,Б
12,Опрос в гугл-форме,zhad_bar_dl,д
13,Опрос в гугл-форме,obmanuli_dlina,
13,Опрос в гугл-форме,obmanuli_kogo,
13,Опрос в гугл-форме,obmanuli_na,
13,Опрос в гугл-форме,plaksa_dl,с
13,Опрос в гугл-форме,plaksa_vaksa,в
13,Опрос в гугл-форме,ryova,оо
13,Опрос в гугл-форме,ryova_dl,к
13,Опрос в гугл-форме,zhad_bar,Б
13,Опрос в гугл-форме,zhad_bar_dl,д
14,Опрос в гугл-форме,obmanuli_dlina,д
14,Опрос в гугл-форме,obmanuli_kogo,к
14,Опрос в гугл-форме,obmanuli_na,к
14,Опрос в гугл-форме,plaksa_dl,д
14,Опрос в гугл-форме,plaksa_vaksa,в
14,Опрос в гугл-форме,ryova,оо
14,Опрос в гугл-форме,ryova_dl,к
14,Опрос в гугл-форме,zhad_bar,Б
14,Опрос в гугл-форме,zhad_bar_dl,д
15,Опрос в гугл-форме,obmanuli_dlina,д
15,Опрос в гугл-форме,obmanuli_kogo,к
15,Опрос в гугл-форме,obmanuli_na,к
15,Опрос в гугл-форме,plaksa_dl,д
15,Опрос в гугл-форме,plaksa_vaksa,в
15,Опрос в гугл-форме,ryova,оо
15,Опрос в гугл-форме,ryova_dl,к
15,Опрос в гугл-форме,zhad_bar,О
15,Опрос в гугл-форме,zhad_ogur_dl,д
16,Опрос в гугл-форме,obmanuli_dlina,
16,Опрос в гугл-форме,obmanuli_kogo,
16,Опрос в гугл-форме,obmanuli_na,
16,Опрос в гугл-форме,plaksa_dl,
16,Опрос в гугл-форме,plaksa_vaksa,
16,Опрос в гугл-форме,ryova,
16,Опрос в гугл-форме,ryova_dl,
16,Опрос в гугл-форме,zhad_bar,Б
16,Опрос в гугл-форме,zhad_bar_dl,д
17,Опрос в гугл-форме,obmanuli_dlina,д
17,Опрос в гугл-форме,obmanuli_kogo,к
17,Опрос в гугл-форме,obmanuli_na,к
17,Опрос в гугл-форме,plaksa_dl,к
17,Опрос в гугл-форме,plaksa_vaksa,в
17,Опрос в гугл-форме,ryova,оо
17,Опрос в гугл-форме,ryova_dl,к
17,Опрос в гугл-форме,zhad_bar,Б
17,Опрос в гугл-форме,zhad_bar_dl,д
18,Опрос в гугл-форме,obmanuli_dlina,д
18,Опрос в гугл-форме,obmanuli_kogo,к
18,Опрос в гугл-форме,obmanuli_na,к
18,Опрос в гугл-форме,plaksa_dl,д
18,Опрос в гугл-форме,plaksa_vaksa,в
18,Опрос в гугл-форме,ryova,оо
18,Опрос в гугл-форме,ryova_dl,к
18,Опрос в гугл-форме,zhad_bar,Б
18,Опрос в гугл-форме,zhad_bar_dl,д
19,Опрос в гугл-форме,obmanuli_dlina,д
19,Опрос в гугл-форме,obmanuli_kogo,к
19,Опрос в гугл-форме,obmanuli_na,к
19,Опрос в гугл-форме,plaksa_dl,д
19,Опрос в гугл-форме,plaksa_vaksa,в
19,Опрос в гугл-форме,ryova,оо
19,Опрос в гугл-форме,ryova_dl,к
19,Опрос в гугл-форме,zhad_bar,О
19,Опрос в гугл-форме,zhad_ogur_dl,д
20,Опрос в гугл-форме,obmanuli_dlina,
20,Опрос в гугл-форме,obmanuli_kogo,
20,Опрос в гугл-форме,obmanuli_na,
20,Опрос в гугл-форме,plaksa_dl,
20,Опрос в гугл-форме,plaksa_vaksa,
20,Опрос в гугл-форме,ryova,
20,Опрос в гугл-форме,ryova_dl,
20,Опрос в гугл-форме,zhad_bar,Б
20,Опрос в гугл-форме,zhad_bar_dl,д
21,Опрос в гугл-форме,obmanuli_dlina,д
21,Опрос в гугл-форме,obmanuli_kogo,к
21,Опрос в гугл-форме,obmanuli_na,к
21,Опрос в гугл-форме,plaksa_dl,с
21,Опрос в гугл-форме,plaksa_vaksa,в
21,Опрос в гугл-форме,ryova,оо
21,Опрос в гугл-форме,ryova_dl,к
21,Опрос в гугл-форме,zhad_bar,Б
21,Опрос в гугл-форме,zhad_bar_dl,д
22,Опрос в гугл-форме,obmanuli_dlina,
22,Опрос в гугл-форме,obmanuli_kogo,
22,Опрос в гугл-форме,obmanuli_na,
22,Опрос в гугл-форме,plaksa_dl,к
22,Опрос в гугл-форме,plaksa_vaksa,в
22,Опрос в гугл-форме,ryova,оо
22,Опрос в гугл-форме,ryova_dl,к
22,Опрос в гугл-форме,zhad_bar,О
22,Опрос в гугл-форме,zhad_ogur_dl,к
23,Опрос в гугл-форме,obmanuli_dlina,
23,Опрос в гугл-форме,obmanuli_kogo,
23,Опрос в гугл-форме,obmanuli_na,
23,Опрос в гугл-форме,plaksa_dl,
23,Опрос в гугл-форме,plaksa_vaksa,
23,Опрос в гугл-форме,ryova,
23,Опрос в гугл-форме,ryova_dl,
23,Опрос в гугл-форме,zhad_bar,Б
23,Опрос в гугл-форме,zhad_bar_dl,к
24,Опрос в гугл-форме,obmanuli_dlina,д
24,Опрос в гугл-форме,obmanuli_kogo,к
24,Опрос в гугл-форме,obmanuli_na,к
24,Опрос в гугл-форме,plaksa_dl,к
24,Опрос в гугл-форме,plaksa_vaksa,в
24,Опрос в гугл-форме,ryova,оо
24,Опрос в гугл-форме,ryova_dl,к
24,Опрос в гугл-форме,zhad_bar,Б
24,Опрос в гугл-форме,zhad_bar_dl,к
25,Опрос в гугл-форме,obmanuli_dlina,д
25,Опрос в гугл-форме,obmanuli_kogo,чк
25,Опрос в гугл-форме,obmanuli_na,нет
25,Опрос в гугл-форме,plaksa_dl,к
25,Опрос в гугл-форме,plaksa_vaksa,в
25,Опрос в гугл-форме,ryova,др
25,Опрос в гугл-форме,ryova_dl,к
25,Опрос в гугл-форме,zhad_bar,Б
25,Опрос в гугл-форме,zhad_bar_dl,к
26,Опрос в гугл-форме,obmanuli_dlina,д
26,Опрос в гугл-форме,obmanuli_kogo,к
26,Опрос в гугл-форме,obmanuli_na,к
26,Опрос в гугл-форме,plaksa_dl,д
26,Опрос в гугл-форме,plaksa_vaksa,в
26,Опрос в гугл-форме,ryova,оо
26,Опрос в гугл-форме,ryova_dl,к
26,Опрос в гугл-форме,zhad_bar,Б
26,Опрос в гугл-форме,zhad_bar_dl,к
27,Опрос в гугл-форме,obmanuli_dlina,
27,Опрос в гугл-форме,obmanuli_kogo,
27,Опрос в гугл-форме,obmanuli_na,
27,Опрос в гугл-форме,plaksa_dl,д
27,Опрос в гугл-форме,plaksa_vaksa,в
27,Опрос в гугл-форме,ryova,
27,Опрос в гугл-форме,ryova_dl,
27,Опрос в гугл-форме,zhad_bar,Б
27,Опрос в гугл-форме,zhad_bar_dl,к
28,Опрос в гугл-форме,obmanuli_dlina,
28,Опрос в гугл-форме,obmanuli_kogo,
28,Опрос в гугл-форме,obmanuli_na,
28,Опрос в гугл-форме,plaksa_dl,к
28,Опрос в гугл-форме,plaksa_vaksa,в
28,Опрос в гугл-форме,ryova,оё
28,Опрос в гугл-форме,ryova_dl,к
28,Опрос в гугл-форме,zhad_bar,Б
28,Опрос в гугл-форме,zhad_bar_dl,к
29,Опрос в гугл-форме,obmanuli_dlina,др
29,Опрос в гугл-форме,obmanuli_kogo,к
29,Опрос в гугл-форме,obmanuli_na,к
29,Опрос в гугл-форме,plaksa_dl,с
29,Опрос в гугл-форме,plaksa_vaksa,в
29,Опрос в гугл-форме,ryova,оо
29,Опрос в гугл-форме,ryova_dl,к
29,Опрос в гугл-форме,zhad_bar,Б
29,Опрос в гугл-форме,zhad_bar_dl,к
30,Опрос в гугл-форме,obmanuli_dlina,д
30,Опрос в гугл-форме,obmanuli_kogo,к
30,Опрос в гугл-форме,obmanuli_na,к
30,Опрос в гугл-форме,plaksa_dl,д
30,Опрос в гугл-форме,plaksa_vaksa,в
30,Опрос в гугл-форме,ryova,оо
30,Опрос в гугл-форме,ryova_dl,к
30,Опрос в гугл-форме,zhad_bar,Б
30,Опрос в гугл-форме,zhad_bar_dl,к
31,Опрос в гугл-форме,obmanuli_dlina,д
31,Опрос в гугл-форме,obmanuli_kogo,к
31,Опрос в гугл-форме,obmanuli_na,к
31,Опрос в гугл-форме,plaksa_dl,д
31,Опрос в гугл-форме,plaksa_vaksa,в
31,Опрос в гугл-форме,ryova,оо
31,Опрос в гугл-форме,ryova_dl,к
31,Опрос в гугл-форме,zhad_bar,Б
31,Опрос в гугл-форме,zhad_bar_dl,к
32,Опрос в гугл-форме,obmanuli_dlina,д
32,Опрос в гугл-форме,obmanuli_kogo,к
32,Опрос в гугл-форме,obmanuli_na,к
32,Опрос в гугл-форме,plaksa_dl,к
32,Опрос в гугл-форме,plaksa_vaksa,в
32,Опрос в гугл-форме,ryova,оо
32,Опрос в гугл-форме,ryova_dl,к
32,Опрос в гугл-форме,zhad_bar,Б
32,Опрос в гугл-форме,zhad_bar_dl,к
33,Опрос в гугл-форме,obmanuli_dlina,д
33,Опрос в гугл-форме,obmanuli_kogo,к
33,Опрос в гугл-форме,obmanuli_na,к
33,Опрос в гугл-форме,plaksa_dl,д
33,Опрос в гугл-форме,plaksa_vaksa,др
33,Опрос в гугл-форме,ryova,оо
33,Опрос в гугл-форме,ryova_dl,к
33,Опрос в гугл-форме,zhad_bar,Б
33,Опрос в гугл-форме,zhad_bar_dl,к
34,Опрос в гугл-форме,obmanuli_dlina,
34,Опрос в гугл-форме,obmanuli_kogo,
34,Опрос в гугл-форме,obmanuli_na,
34,Опрос в гугл-форме,plaksa_dl,
34,Опрос в гугл-форме,plaksa_vaksa,
34,Опрос в гугл-форме,ryova,оо
34,Опрос в гугл-форме,ryova_dl,к
34,Опрос в гугл-форме,zhad_bar,Б
34,Опрос в гугл-форме,zhad_bar_dl,к
35,Опрос в гугл-форме,obmanuli_dlina,
35,Опрос в гугл-форме,obmanuli_kogo,
35,Опрос в гугл-форме,obmanuli_na,
35,Опрос в гугл-форме,plaksa_dl,
35,Опрос в гугл-форме,plaksa_vaksa,
35,Опрос в гугл-форме,ryova,оо
35,Опрос в гугл-форме,ryova_dl,к
35,Опрос в гугл-форме,zhad_bar,Б
35,Опрос в гугл-форме,zhad_bar_dl,к
36,Опрос в гугл-форме,obmanuli_dlina,
36,Опрос в гугл-форме,obmanuli_kogo,
36,Опрос в гугл-форме,obmanuli_na,
36,Опрос в гугл-форме,plaksa_dl,к
36,Опрос в гугл-форме,plaksa_vaksa,в
36,Опрос в гугл-форме,ryova,оо
36,Опрос в гугл-форме,ryova_dl,к
36,Опрос в гугл-форме,zhad_bar,Ш
37,Опрос в гугл-форме,obmanuli_dlina,д
37,Опрос в гугл-форме,obmanuli_kogo,к
37,Опрос в гугл-форме,obmanuli_na,к
37,Опрос в гугл-форме,plaksa_dl,к
37,Опрос в гугл-форме,plaksa_vaksa,в
37,Опрос в гугл-форме,ryova,оо
37,Опрос в гугл-форме,ryova_dl,к
37,Опрос в гугл-форме,zhad_bar,О
37,Опрос в гугл-форме,zhad_ogur_dl,д
38,Опрос в гугл-форме,obmanuli_dlina,д
38,Опрос в гугл-форме,obmanuli_kogo,к
38,Опрос в гугл-форме,obmanuli_na,к
38,Опрос в гугл-форме,plaksa_dl,д
38,Опрос в гугл-форме,plaksa_vaksa,в
38,Опрос в гугл-форме,ryova,оо
38,Опрос в гугл-форме,ryova_dl,к
38,Опрос в гугл-форме,zhad_bar,О
38,Опрос в гугл-форме,zhad_ogur_dl,д
39,Опрос в гугл-форме,obmanuli_dlina,д
39,Опрос в гугл-форме,obmanuli_kogo,к
39,Опрос в гугл-форме,obmanuli_na,к
39,Опрос в гугл-форме,plaksa_dl,д
39,Опрос в гугл-форме,plaksa_vaksa,в
39,Опрос в гугл-форме,ryova,оо
39,Опрос в гугл-форме,ryova_dl,к
39,Опрос в гугл-форме,zhad_bar,О
39,Опрос в гугл-форме,zhad_ogur_dl,д+
40,Опрос в гугл-форме,obmanuli_dlina,д
40,Опрос в гугл-форме,obmanuli_kogo,к
40,Опрос в гугл-форме,obmanuli_na,к
40,Опрос в гугл-форме,plaksa_dl,к
40,Опрос в гугл-форме,plaksa_vaksa,в
40,Опрос в гугл-форме,ryova,оо
40,Опрос в гугл-форме,ryova_dl,к
40,Опрос в гугл-форме,zhad_bar,О
40,Опрос в гугл-форме,zhad_ogur_dl,д
41,Опрос в гугл-форме,obmanuli_dlina,
41,Опрос в гугл-форме,obmanuli_kogo,
41,Опрос в гугл-форме,obmanuli_na,
41,Опрос в гугл-форме,plaksa_dl,
41,Опрос в гугл-форме,plaksa_vaksa,
41,Опрос в гугл-форме,ryova,
41,Опрос в гугл-форме,ryova_dl,
41,Опрос в гугл-форме,zhad_bar,Ш
42,Опрос в гугл-форме,obmanuli_dlina,п
42,Опрос в гугл-форме,obmanuli_kogo,к
42,Опрос в гугл-форме,obmanuli_na,к
42,Опрос в гугл-форме,plaksa_dl,д
42,Опрос в гугл-форме,plaksa_vaksa,в
42,Опрос в гугл-форме,ryova,оо
42,Опрос в гугл-форме,ryova_dl,к
42,Опрос в гугл-форме,zhad_bar,О
42,Опрос в гугл-форме,zhad_ogur_dl,д
43,Опрос в гугл-форме,obmanuli_dlina,д
43,Опрос в гугл-форме,obmanuli_kogo,к
43,Опрос в гугл-форме,obmanuli_na,к
43,Опрос в гугл-форме,plaksa_dl,д
43,Опрос в гугл-форме,plaksa_vaksa,в
43,Опрос в гугл-форме,ryova,оо
43,Опрос в гугл-форме,ryova_dl,к
43,Опрос в гугл-форме,zhad_bar,О
43,Опрос в гугл-форме,zhad_ogur_dl,д
44,Опрос в гугл-форме,obmanuli_dlina,д
44,Опрос в гугл-форме,obmanuli_kogo,к
44,Опрос в гугл-форме,obmanuli_na,к
44,Опрос в гугл-форме,plaksa_dl,
44,Опрос в гугл-форме,plaksa_vaksa,
44,Опрос в гугл-форме,ryova,оо
44,Опрос в гугл-форме,ryova_dl,к
44,Опрос в гугл-форме,zhad_bar,О
44,Опрос в гугл-форме,zhad_ogur_dl,д
45,Опрос в гугл-форме,obmanuli_dlina,
45,Опрос в гугл-форме,obmanuli_kogo,
45,Опрос в гугл-форме,obmanuli_na,
45,Опрос в гугл-форме,plaksa_dl,
45,Опрос в гугл-форме,plaksa_vaksa,
45,Опрос в гугл-форме,ryova,оё
45,Опрос в гугл-форме,ryova_dl,к
45,Опрос в гугл-форме,zhad_bar,О
45,Опрос в гугл-форме,zhad_ogur_dl,д
46,Опрос в гугл-форме,obmanuli_dlina,д
46,Опрос в гугл-форме,obmanuli_kogo,к
46,Опрос в гугл-форме,obmanuli_na,к
46,Опрос в гугл-форме,plaksa_dl,
46,Опрос в гугл-форме,plaksa_vaksa,
46,Опрос в гугл-форме,ryova,оо
46,Опрос в гугл-форме,ryova_dl,к
46,Опрос в гугл-форме,zhad_bar,О
46,Опрос в гугл-форме,zhad_ogur_dl,д
47,Опрос в гугл-форме,obmanuli_dlina,д
47,Опрос в гугл-форме,obmanuli_kogo,к
47,Опрос в гугл-форме,obmanuli_na,к
47,Опрос в гугл-форме,plaksa_dl,с
47,Опрос в гугл-форме,plaksa_vaksa,в
47,Опрос в гугл-форме,ryova,оо
47,Опрос в гугл-форме,ryova_dl,к
47,Опрос в гугл-форме,zhad_bar,О
47,Опрос в гугл-форме,zhad_ogur_dl,д
48,Опрос в гугл-форме,obmanuli_dlina,д
48,Опрос в гугл-форме,obmanuli_kogo,к
48,Опрос в гугл-форме,obmanuli_na,к
48,Опрос в гугл-форме,plaksa_dl,к
48,Опрос в гугл-форме,plaksa_vaksa,в
48,Опрос в гугл-форме,ryova,оё
48,Опрос в гугл-форме,ryova_dl,к
48,Опрос в гугл-форме,zhad_bar,О
48,Опрос в гугл-форме,zhad_ogur_dl,д+
49,Опрос в гугл-форме,obmanuli_dlina,д
49,Опрос в гугл-форме,obmanuli_kogo,к
49,Опрос в гугл-форме,obmanuli_na,к
49,Опрос в гугл-форме,plaksa_dl,к
49,Опрос в гугл-форме,plaksa_vaksa,в
49,Опрос в гугл-форме,ryova,оо
49,Опрос в гугл-форме,ryova_dl,к
49,Опрос в гугл-форме,zhad_bar,О
49,Опрос в гугл-форме,zhad_ogur_dl,д
50,Опрос в гугл-форме,obmanuli_dlina,д
50,Опрос в гугл-форме,obmanuli_kogo,к
50,Опрос в гугл-форме,obmanuli_na,к
50,Опрос в гугл-форме,plaksa_dl,
50,Опрос в гугл-форме,plaksa_vaksa,
50,Опрос в гугл-форме,ryova,оо
50,Опрос в гугл-форме,ryova_dl,к
50,Опрос в гугл-форме,zhad_bar,О
50,Опрос в гугл-форме,zhad_ogur_dl,д
51,Опрос в гугл-форме,obmanuli_dlina,д
51,Опрос в гугл-форме,obmanuli_kogo,к
51,Опрос в гугл-форме,obmanuli_na,к
51,Опрос в гугл-форме,plaksa_dl,
51,Опрос в гугл-форме,plaksa_vaksa,
51,Опрос в гугл-форме,ryova,оо
51,Опрос в гугл-форме,ryova_dl,к
51,Опрос в гугл-форме,zhad_bar,О
51,Опрос в гугл-форме,zhad_ogur_dl,д
52,Опрос в гугл-форме,obmanuli_dlina,д
52,Опрос в гугл-форме,obmanuli_kogo,к
52,Опрос в гугл-форме,obmanuli_na,к
52,Опрос в гугл-форме,plaksa_dl,к
52,Опрос в гугл-форме,plaksa_vaksa,в
52,Опрос в гугл-форме,ryova,оо
52,Опрос в гугл-форме,ryova_dl,к
52,Опрос в гугл-форме,zhad_bar,О
52,Опрос в гугл-форме,zhad_ogur_dl,д+
53,Опрос в гугл-форме,obmanuli_dlina,д
53,Опрос в гугл-форме,obmanuli_kogo,чк
53,Опрос в гугл-форме,obmanuli_na,к
53,Опрос в гугл-форме,plaksa_dl,д
53,Опрос в гугл-форме,plaksa_vaksa,в
53,Опрос в гугл-форме,ryova,оо
53,Опрос в гугл-форме,ryova_dl,к
53,Опрос в гугл-форме,zhad_bar,О
53,Опрос в гугл-форме,zhad_ogur_dl,д+
54,Опрос в гугл-форме,obmanuli_dlina,
54,Опрос в гугл-форме,obmanuli_kogo,
54,Опрос в гугл-форме,obmanuli_na,
54,Опрос в гугл-форме,plaksa_dl,д
54,Опрос в гугл-форме,plaksa_vaksa,в
54,Опрос в гугл-форме,ryova,оо
54,Опрос в гугл-форме,ryova_dl,к
54,Опрос в гугл-форме,zhad_bar,О
54,Опрос в гугл-форме,zhad_ogur_dl,д+
55,Опрос в гугл-форме,obmanuli_dlina,д
55,Опрос в гугл-форме,obmanuli_kogo,к
55,Опрос в гугл-форме,obmanuli_na,п
55,Опрос в гугл-форме,plaksa_dl,
55,Опрос в гугл-форме,plaksa_vaksa,
55,Опрос в гугл-форме,ryova,оё
55,Опрос в гугл-форме,ryova_dl,др
55,Опрос в гугл-форме,zhad_bar,О
55,Опрос в гугл-форме,zhad_ogur_dl,д+
56,Опрос в гугл-форме,obmanuli_dlina,д
56,Опрос в гугл-форме,obmanuli_kogo,к
56,Опрос в гугл-форме,obmanuli_na,к
56,Опрос в гугл-форме,plaksa_dl,к
56,Опрос в гугл-форме,plaksa_vaksa,в
56,Опрос в гугл-форме,ryova,
56,Опрос в гугл-форме,ryova_dl,
56,Опрос в гугл-форме,zhad_bar,О
56,Опрос в гугл-форме,zhad_ogur_dl,д
57,Опрос в гугл-форме,obmanuli_dlina,
57,Опрос в гугл-форме,obmanuli_kogo,
57,Опрос в гугл-форме,obmanuli_na,
57,Опрос в гугл-форме,plaksa_dl,к
57,Опрос в гугл-форме,plaksa_vaksa,в
57,Опрос в гугл-форме,ryova,оо
57,Опрос в гугл-форме,ryova_dl,к
57,Опрос в гугл-форме,zhad_bar,О
57,Опрос в гугл-форме,zhad_ogur_dl,д
58,Опрос в гугл-форме,obmanuli_dlina,д
58,Опрос в гугл-форме,obmanuli_kogo,к
58,Опрос в гугл-форме,obmanuli_na,к
58,Опрос в гугл-форме,plaksa_dl,д
58,Опрос в гугл-форме,plaksa_vaksa,в
58,Опрос в гугл-форме,ryova,оо
58,Опрос в гугл-форме,ryova_dl,к
58,Опрос в гугл-форме,zhad_bar,О
58,Опрос в гугл-форме,zhad_ogur_dl,д
59,Опрос в гугл-форме,obmanuli_dlina,д
59,Опрос в гугл-форме,obmanuli_kogo,к
59,Опрос в гугл-форме,obmanuli_na,к
59,Опрос в гугл-форме,plaksa_dl,с
59,Опрос в гугл-форме,plaksa_vaksa,в
59,Опрос в гугл-форме,ryova,оо
59,Опрос в гугл-форме,ryova_dl,к
59,Опрос в гугл-форме,zhad_bar,О
59,Опрос в гугл-форме,zhad_ogur_dl,д
60,Опрос в гугл-форме,obmanuli_dlina,др
60,Опрос в гугл-форме,obmanuli_kogo,к
60,Опрос в гугл-форме,obmanuli_na,к
60,Опрос в гугл-форме,plaksa_dl,д
60,Опрос в гугл-форме,plaksa_vaksa,в
60,Опрос в гугл-форме,ryova,оо
60,Опрос в гугл-форме,ryova_dl,к
60,Опрос в гугл-форме,zhad_bar,О
60,Опрос в гугл-форме,zhad_ogur_dl,д
61,Опрос в гугл-форме,obmanuli_dlina,д
61,Опрос в гугл-форме,obmanuli_kogo,к
61,Опрос в гугл-форме,obmanuli_na,к
61,Опрос в гугл-форме,plaksa_dl,д
61,Опрос в гугл-форме,plaksa_vaksa,в
61,Опрос в гугл-форме,ryova,оо
61,Опрос в гугл-форме,ryova_dl,к
61,Опрос в гугл-форме,zhad_bar,О
61,Опрос в гугл-форме,zhad_ogur_dl,д
62,Опрос в гугл-форме,obmanuli_dlina,п
62,Опрос в гугл-форме,obmanuli_kogo,к
62,Опрос в гугл-форме,obmanuli_na,к
62,Опрос в гугл-форме,plaksa_dl,к
62,Опрос в гугл-форме,plaksa_vaksa,в
62,Опрос в гугл-форме,ryova,оо
62,Опрос в гугл-форме,ryova_dl,д
62,Опрос в гугл-форме,zhad_bar,О
62,Опрос в гугл-форме,zhad_ogur_dl,д
63,Опрос в гугл-форме,obmanuli_dlina,д
63,Опрос в гугл-форме,obmanuli_kogo,к
63,Опрос в гугл-форме,obmanuli_na,к
63,Опрос в гугл-форме,plaksa_dl,к
63,Опрос в гугл-форме,plaksa_vaksa,в
63,Опрос в гугл-форме,ryova,оо
63,Опрос в гугл-форме,ryova_dl,к
63,Опрос в гугл-форме,zhad_bar,О
63,Опрос в гугл-форме,zhad_ogur_dl,д
64,Опрос в гугл-форме,obmanuli_dlina,д
64,Опрос в гугл-форме,obmanuli_kogo,к
64,Опрос в гугл-форме,obmanuli_na,к
64,Опрос в гугл-форме,plaksa_dl,д
64,Опрос в гугл-форме,plaksa_vaksa,в
64,Опрос в гугл-форме,ryova,оо
64,Опрос в гугл-форме,ryova_dl,дц
64,Опрос в гугл-форме,zhad_bar,О
64,Опрос в гугл-форме,zhad_ogur_dl,д
65,Опрос в гугл-форме,obmanuli_dlina,
